"","business_id","name","neighborhood","address","city","state","postal_code","latitude","longitude","stars","review_count","is_open","attributes","categories","hours","type"
"1","O54jXbKjZte4qVYabYjGjg","Zappitelli's Pizza",NA,"9570 Mentor Ave","Mentor","OH",44060,41.681422,-81.2962052,4,38,1,"[""Alcohol: beer_and_wine"",""Ambience: {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}"",""BikeParking: True"",""BusinessAcceptsCreditCards: True"",""BusinessParking: {'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"",""Caters: True"",""GoodForKids: True"",""GoodForMeal: {'dessert': False, 'latenight': False, 'lunch': False, 'dinner': True, 'breakfast': False, 'brunch': False}"",""HasTV: False"",""NoiseLevel: average"",""OutdoorSeating: False"",""RestaurantsAttire: casual"",""RestaurantsDelivery: True"",""RestaurantsGoodForGroups: True"",""RestaurantsPriceRange2: 2"",""RestaurantsReservations: False"",""RestaurantsTableService: True"",""RestaurantsTakeOut: True"",""WiFi: no""]","[""Pizza"",""Restaurants"",""Event Planning \u0026 Services"",""Caterers"",""Italian""]","[""Monday 11:0-21:30"",""Tuesday 11:0-21:30"",""Wednesday 11:0-21:30"",""Thursday 11:0-21:30"",""Friday 11:0-21:30"",""Saturday 11:0-21:30"",""Sunday 11:0-21:30""]","business"
"2","Ajw9oYhxVBWn0n4bmvigCQ","D9 Brewing Company",NA,"11138-C Treynorth Dr","Cornelius","NC",28031,35.4611816,-80.8474255,4.5,39,1,"[""BikeParking: True"",""BusinessAcceptsBitcoin: False"",""BusinessAcceptsCreditCards: True"",""BusinessParking: {'garage': False, 'street': True, 'validated': False, 'lot': True, 'valet': False}"",""RestaurantsPriceRange2: 1"",""RestaurantsTakeOut: False"",""WheelchairAccessible: True""]","[""Food"",""Breweries""]","[""Monday 14:0-22:0"",""Tuesday 14:0-22:0"",""Wednesday 14:0-22:0"",""Thursday 14:0-22:0"",""Friday 14:0-22:0"",""Saturday 12:0-22:0"",""Sunday 13:0-20:0""]","business"
"3","lum45B-qKKAN0QtRJlKFuw","El Rodeo",NA,"6900 Center St","Mentor","OH",44060,41.6831717,-81.3400624,3.5,20,1,"[""Alcohol: full_bar"",""Ambience: {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}"",""BusinessAcceptsCreditCards: True"",""BusinessParking: {'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"",""Caters: False"",""GoodForKids: True"",""GoodForMeal: {'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'breakfast': False, 'brunch': False}"",""HasTV: True"",""NoiseLevel: average"",""OutdoorSeating: True"",""RestaurantsAttire: casual"",""RestaurantsDelivery: False"",""RestaurantsGoodForGroups: True"",""RestaurantsPriceRange2: 1"",""RestaurantsReservations: False"",""RestaurantsTableService: True"",""RestaurantsTakeOut: True"",""WheelchairAccessible: True"",""WiFi: no""]","[""Mexican"",""Restaurants""]",NA,"business"
"4","XfRZUtypMBo5TKtK3XpCzw","Cellairis",NA,"Great Lakes Mall, 7850 Mentor Ave","Mentor","OH",44060,41.6578505,-81.361229,2.5,3,1,"[""BikeParking: True"",""BusinessAcceptsCreditCards: True"",""BusinessParking: {'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"",""WheelchairAccessible: True""]","[""Mobile Phones"",""IT Services \u0026 Computer Repair"",""Local Services"",""Shopping"",""Mobile Phone Repair""]","[""Monday 10:0-21:30"",""Tuesday 10:0-21:30"",""Wednesday 10:0-21:30"",""Thursday 10:0-21:30"",""Friday 10:0-21:30"",""Saturday 10:0-21:30"",""Sunday 11:0-19:0""]","business"
"5","_mahHsC5HaOGJyPQkj-50g","Orangetheory Fitness Lake Norman - Cornelius",NA,"20619 Torrence Chapel Rd","Cornelius","NC",28031,35.4857295,-80.8784194,3.5,6,1,"[""BusinessAcceptsCreditCards: True"",""BusinessParking: {'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"",""ByAppointmentOnly: True"",""GoodForKids: False""]","[""Boot Camps"",""Trainers"",""Gyms"",""Active Life"",""Fitness \u0026 Instruction""]","[""Monday 7:0-21:0"",""Tuesday 7:0-21:0"",""Wednesday 7:0-21:0"",""Thursday 7:0-21:0"",""Friday 7:0-21:0"",""Saturday 7:0-21:0"",""Sunday 7:0-21:0""]","business"
"6","9GukPjHTMOrys-xhzgTwSw","Cornelius Arts Center",NA,"19725 Oak St","Cornelius","NC",28031,35.480714,-80.860512,4.5,3,1,"[""BikeParking: True"",""BusinessAcceptsCreditCards: True"",""BusinessParking: {'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"",""ByAppointmentOnly: False"",""GoodForKids: True"",""RestaurantsPriceRange2: 1""]","[""Specialty Schools"",""Shopping"",""Art Schools"",""Art Galleries"",""Arts \u0026 Entertainment"",""Education""]",NA,"business"
"7","4G3ptZapkPZwMCE-PX_7tA","PostNet",NA,"19825B North Cove Rd","Cornelius","NC",28031,35.4783673,-80.8939292,3.5,3,1,"[""BusinessAcceptsBitcoin: False"",""BusinessAcceptsCreditCards: True""]","[""Local Services"",""Shipping Centers"",""Printing Services"",""Notaries""]","[""Monday 9:0-18:0"",""Tuesday 9:0-18:0"",""Wednesday 9:0-18:0"",""Thursday 9:0-18:0"",""Friday 9:0-18:0"",""Saturday 10:0-13:0""]","business"
"8","tg4rqi5oZ7djQtLdI9KOtg","Murray's Auto Works",NA,"18835 Statesville Rd, Ste 3","Cornelius","NC",28031,35.4697097,-80.8745677,4.5,5,1,NA,"[""Automotive"",""Auto Repair""]",NA,"business"
"9","90oH6tilpqsCkz7Dhcxejw","Massage In Davidson",NA,"21206 Catawba Ave","Cornelius","NC",28031,35.4824259,-80.862377,5,6,1,"[""AcceptsInsurance: False"",""BusinessAcceptsCreditCards: True"",""BusinessParking: {'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"",""ByAppointmentOnly: True"",""RestaurantsPriceRange2: 2"",""WheelchairAccessible: True"",""BikeParking: True""]","[""Massage"",""Beauty \u0026 Spas"",""Massage Therapy"",""Health \u0026 Medical""]","[""Monday 9:0-7:0"",""Tuesday 9:0-7:0"",""Wednesday 9:0-7:0"",""Thursday 9:0-7:0"",""Friday 9:0-7:0"",""Saturday 12:0-17:0"",""Sunday 10:0-17:0""]","business"
"10","vVZ_4oNhCVuH8Tfr_uro9Q","Saeed's Bar & Deli",NA,"20832 Catawba Ave","Cornelius","NC",28031,35.483712,-80.868313,3,12,1,"[""Alcohol: full_bar"",""Ambience: {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}"",""BestNights: {'monday': False, 'tuesday': False, 'friday': True, 'wednesday': False, 'thursday': True, 'sunday': False, 'saturday': True}"",""BikeParking: True"",""BusinessAcceptsCreditCards: True"",""BusinessParking: {'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"",""CoatCheck: False"",""GoodForDancing: False"",""HappyHour: False"",""HasTV: True"",""Music: {'dj': True, 'background_music': False, 'no_music': False, 'karaoke': False, 'live': True, 'video': False, 'jukebox': True}"",""NoiseLevel: average"",""OutdoorSeating: True"",""RestaurantsGoodForGroups: True"",""Smoking: yes"",""WheelchairAccessible: True"",""RestaurantsPriceRange2: 2"",""RestaurantsReservations: False""]","[""Nightlife"",""Bars"",""Karaoke""]",NA,"business"
"11","SPWFv7gy8PsH4smyzxqjZw","Symmetry Pet Grooming",NA,"20842 Catawba Ave","Cornelius","NC",28031,35.4838433,-80.8678739,4,5,1,NA,"[""Pet Groomers"",""Pet Services"",""Pets""]","[""Monday 7:0-18:0"",""Tuesday 9:0-17:0"",""Wednesday 9:0-17:0"",""Thursday 9:0-17:0"",""Friday 9:0-17:0"",""Saturday 9:0-16:0""]","business"
"12","ofQjrbfKDm1clYI3y8Tx5w","Shear Reflections Hair Design",NA,"7900 Plz Blvd","Mentor","OH",44060,41.6563847,-81.3670374,2.5,3,1,"[""BikeParking: True"",""BusinessAcceptsCreditCards: True"",""BusinessParking: {'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"",""ByAppointmentOnly: False"",""GoodForKids: True"",""RestaurantsPriceRange2: 2""]","[""Nail Salons"",""Beauty \u0026 Spas"",""Hair Salons""]","[""Monday 9:0-20:0"",""Tuesday 8:0-20:0"",""Wednesday 10:0-20:0"",""Thursday 8:0-20:0"",""Friday 7:0-16:0"",""Saturday 7:0-16:0""]","business"
"13","T6lV2V04bkj22nQWED_zMQ","Eleanor B Garfield Park",NA,"7967 Mentor Ave","Mentor","OH",44060,41.665107,-81.3565689,4,3,1,"[""GoodForKids: True""]","[""Parks"",""Playgrounds"",""Active Life"",""Swimming Pools""]",NA,"business"
